Unique ID,Post,Labels Set
1,"मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है 

🙏 जय श्री राम 🙏","hate,offensive"
2,"सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नई-नई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.

https://t.co/8iy2MJSBAs",non-hostile
3,"सुशांत ने जो बिजनेस डील 9 जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर #LIVE :  https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM",non-hostile
4,@prabhav218 साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।,"defamation,offensive"
5,"#unlock4guidelines - अनलॉक-4 के लिए गाइडलाइन्स जारी

- 7 सितंबर से देशभर में मेट्रो सेवा शुरु होगी
- 21 सितंबर के बाद रैलियों और बाकी फंक्शन में 100 लोगों को इजाजत
- कंटेनमेंट जोन में कोई छूट नहीं
- सिनेमाहॉल अभी बंद रहेंगे
- 9 से 12वीं के छात्र 21 सितंबर के बाद स्कूल जा सकेंगे. https://t.co/4e6lysg0VR",non-hostile
6,"चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा

",fake
7,"देश में #Corona के रिकॉर्ड मामले  
#ZeeJankariOnCorona  
@Sheerin_sherry https://t.co/V6UddREAtW",non-hostile
8,"#JEE Exam center से निकले #Students को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी
https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E",non-hostile
9,"#AkshayKumar जल्द ही बेयर ग्रिल्स के शो 'इंटू द वाइल्ड विद बेयर ग्रिल्स' में नजर आने वाले हैं। 

https://t.co/wGp2WS0wuM",non-hostile
10,"#जीवनसंवाद: हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.
#JeevanSamvad
@DayashankarMi
https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S",non-hostile
11,"RT @_Pb_swain_: मोदीजी और जब सारा देश सेना के साथ खडी है,

पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…",hate
12,"RT @ShilpiSinghINC: 48000 घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता!

अमीरों के 5 में से 1 मकान के किसी अवैध हिस्से भी एक…",offensive
13,"जब बीजेपी प्रवक्ता @sambitswaraj ने कांग्रेस प्रवक्ता @SupriyaShrinate को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया
#हल्ला_बोल @anjanaomkashyap #RE https://t.co/WWDYuWikCE",non-hostile
14,"बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो

@akshaykumar
@BearGrylls

https://t.co/VPLwEQsqAv",non-hostile
15,"आजम खान की बेटी पर ससूर ने किया रेप।
अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।
",offensive
16,कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी! #NATIONALNEWS,fake
17,"होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. 18001805145 अथवा @CMHelpline1076 पर सम्पर्क करे: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP",non-hostile
18,"पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी

#PranabMukherjee https://t.co/egBXvOgC1w",non-hostile
19,"IPL छोड़ेंगे @harbhajan_singh ? @ChennaiIPL अधिकारी ने दिया अपडेट

https://t.co/9zFnEXdtAk

#HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I",non-hostile
20,"#Saharanpur चेकिंग के बहाने उगाही करने वाले गिरफ्तार, 2 शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, 2 तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार। @saharanpurpol @digsaharanpur @Uppolice #policemedianews",non-hostile
21,"जापान के नोबल पुरस्कार जीतने वाले ओर 4 साल तक चीन में काम करने वाले प्रोफेसर #टासुकू_होंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।",fake
22,दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।,"fake,hate"
23,कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख  हुई,offensive
24,"प्रणब मुखर्जी ने 37 प्रार्थियों से जुड़ी 28 दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा 30 लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.
https://t.co/1G44U1OR4R",non-hostile
25,"लद्दाख के करीब चीन ने फिर से तैनात किए अपने J-20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान-
#IndiaChinaFaceOff 

https://t.co/2VfWAZenTi",non-hostile
26,"@liHusin1 @KanganaTeam हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...","hate,offensive"
27,गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं,fake
28,"ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, 
अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है।
किसी का भाड़े का टट्टू होगा, विरोध करने के 100, 50 पा जा रहा होगा बस तभी। https://t.co/cwFuCzYP4O",hate
29,"@SalmanNizami_ राहुल गांधी - Maa मैं अगले 4 साल क्या करूंगा 🙃

सोनिया गांधी - बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.😂😂😂",defamation
30,"CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए  
@capt_ivane @DelhiPolice 
#Delhi 
https://t.co/CWo9EqedoG",non-hostile
31,टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी,fake
32,"अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले'

#CSK #SureshRaina
https://t.co/1PZ3fkb8Cj",non-hostile
33,"नई राष्ट्रीय शिक्षा नीति: तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा- दो भाषा पर ही होगा अमल

https://t.co/deEf7BQ4i3",non-hostile
34,"भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी: राहुल गांधी
https://t.co/0CxyP0rMyU",non-hostile
35,योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो @myogiadityanath जी।,hate
